path,label
./fer2013/resize/train/embarrassed/Training_10013223.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_1002457.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10028230.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10060820.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10073433.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_1009179.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10124215.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10135912.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10218600.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10218787.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10227694.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10243312.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10243579.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10258050.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10289074.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10337425.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10346302.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10353847.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10361394.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10366009.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10387804.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10454485.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10466459.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10471419.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_1047709.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10514511.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10543712.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10595844.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_1062767.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10628873.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10680351.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10697559.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10746694.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_1075765.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10787563.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_1081053.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10819158.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10825264.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_1082705.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10852147.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_1090673.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10916342.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10917168.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10946382.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_10974025.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11023146.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11025462.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11124006.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11182388.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11193018.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11208661.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11213134.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11256428.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11272656.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11320816.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11336356.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11399064.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11447118.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11455357.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11550894.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11574459.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11574526.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11601818.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11620276.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11650624.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11663914.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11692408.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11693705.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11850950.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_1185326.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11854051.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11863648.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11879580.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11892143.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11911991.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11929933.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11956624.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11969776.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_11999214.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_12002333.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_12008827.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_12015338.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_12025979.jpg,embarrassed
./fer2013/resize/train/embarrassed/Training_12036963.jpg,embarrassed
